ID_Transaccion;Edad;Numero_items_comprados;Ingreso_mensual;Genero;Gasto_total
TXN001;42;10;7313;Femenino;4155,385084
TXN002;24;8;17747;Femenino;4123,976648
TXN003;47;11;22845;Masculino;5298,614455
TXN004;50;11;18552;Femenino;7781,447676
TXN005;60;2;14439;Femenino;3385,160485
TXN006;49;6;6282;Masculino;2366,036467
TXN007;21;14;7086;Masculino;7509,474559
TXN008;58;9;8881;Masculino;10719,94492
TXN009;20;6;5635;Masculino;3941,277411
TXN010;48;12;20861;Femenino;5363,140262
TXN011;37;8;2556;Masculino;1874,073796
TXN012;49;8;27947;Masculino;8219,046153
TXN013;48;12;23445;Masculino;11426,57824
TXN014;34;10;14297;Masculino;3868,364491
TXN015;39;1;3405;Masculino;1633,998658
TXN016;29;13;28714;Masculino;8436,607517
TXN017;37;13;14069;Femenino;8264,43853
TXN018;58;14;28428;Femenino;11849,05688
TXN019;58;15;14982;Masculino;11874,85488
TXN020;58;13;27864;Femenino;10419,3972
TXN021;30;5;16960;Masculino;11753,42717
TXN022;51;14;3041;Masculino;6919,271468
TXN023;34;13;5037;Femenino;4507,60114
TXN024;44;4;27403;Femenino;5346,995354
TXN025;30;11;23570;Masculino;7682,790334
TXN026;29;5;8954;Femenino;2085,269251
TXN027;28;15;12015;Masculino;8467,443505
TXN028;58;9;8061;Femenino;5987,72732
TXN029;27;4;20163;Femenino;11974,37951
TXN030;35;10;22859;Masculino;6765,134009
TXN031;37;7;10568;Femenino;2604,460708
TXN032;27;2;13087;Masculino;11093,28461
TXN033;58;6;7189;Masculino;3253,512874
TXN034;57;11;19822;Masculino;4680,55483
TXN035;42;9;25446;Masculino;6382,661491
TXN036;28;3;12299;Masculino;3228,468955
TXN037;38;12;3510;Femenino;1998,335778
TXN038;22;8;19919;Femenino;3958,034405
TXN039;34;15;2871;Masculino;5792,557539
TXN040;57;9;22498;Masculino;11127,30254
TXN041;53;5;8932;Masculino;5351,916412
TXN042;20;9;18488;Femenino;3757,922048
TXN043;31;11;26992;Femenino;8892,123893
TXN044;50;4;16666;Femenino;3680,496775
TXN045;25;1;26814;Masculino;11413,00241
TXN046;57;7;23195;Masculino;11172,24078
TXN047;47;3;11071;Femenino;10597,73559
TXN048;42;8;14302;Femenino;8197,737205
TXN049;34;3;2462;Masculino;1976,582147
TXN050;48;5;19296;Femenino;10142,83835
TXN051;30;14;17487;Masculino;5714,71422
TXN052;21;9;24499;Femenino;11049,76251
TXN053;24;12;21433;Femenino;6150,311051
TXN054;46;10;15866;Masculino;3739,979814
TXN055;59;2;11322;Masculino;10980,16291
TXN056;40;10;5717;Femenino;6993,10526
TXN057;47;1;7998;Masculino;3044,968099
TXN058;52;3;11355;Masculino;3539,275406
TXN059;52;4;25318;Femenino;5293,225835
TXN060;50;7;28926;Femenino;11823,64084
TXN061;39;11;11835;Masculino;6007,254216
TXN062;47;9;26453;Masculino;5537,530747
TXN063;49;5;16641;Masculino;3892,906933
TXN064;55;11;16982;Masculino;4155,085539
TXN065;21;14;14538;Masculino;9902,355787
TXN066;22;4;14271;Masculino;4027,32672
TXN067;54;2;11121;Masculino;7720,461454
TXN068;21;5;21040;Femenino;7672,292794
TXN069;20;7;6221;Masculino;8642,613484
TXN070;22;5;9626;Masculino;3045,109044
TXN071;53;4;22133;Femenino;12153,51501
TXN072;24;5;10689;Masculino;4662,438314
TXN073;40;11;24353;Masculino;8508,986368
TXN074;44;8;5667;Femenino;6717,329269
TXN075;46;6;17082;Masculino;4583,387932
TXN076;59;6;24632;Femenino;9601,571881
TXN077;48;2;3705;Masculino;2846,973762
TXN078;20;6;14596;Femenino;6686,773419
TXN079;27;14;26310;Femenino;8840,55003
TXN080;56;15;27181;Masculino;12133,11259
TXN081;49;6;26290;Femenino;6172,562636
TXN082;38;2;2136;Masculino;4945,159881
TXN083;43;11;25700;Femenino;5346,351802
TXN084;60;8;13474;Masculino;8303,973061
TXN085;24;7;7742;Femenino;2234,113697
TXN086;60;11;16178;Masculino;8909,729387
TXN087;26;6;14253;Masculino;4483,597725
TXN088;21;9;29259;Masculino;11833,73883
TXN089;51;8;23912;Masculino;5533,98949
TXN090;58;1;6975;Femenino;3665,244114
TXN091;28;14;15174;Masculino;10141,4169
TXN092;52;6;19764;Femenino;6624,968105
TXN093;59;9;11117;Femenino;9336,925279
TXN094;58;1;5653;Femenino;1952,26763
TXN095;24;12;26725;Masculino;5595,680195
TXN096;23;3;18145;Masculino;3744,672876
TXN097;47;1;27518;Femenino;5050,192819
TXN098;36;12;10394;Masculino;3369,24677
TXN099;23;7;8538;Masculino;8987,316038
TXN100;22;8;3975;Masculino;2997,984904
TXN101;55;12;5631;Femenino;2137,702827
TXN102;32;11;20914;Masculino;5124,703914
TXN103;24;11;7724;Masculino;3354,602793
TXN104;59;10;24638;Femenino;8538,774694
TXN105;44;2;10406;Masculino;2811,309663
TXN106;59;8;11030;Femenino;5351,923804
TXN107;50;15;11332;Femenino;6641,85973
TXN108;30;11;21314;Femenino;5324,42249
TXN109;51;8;17114;Femenino;10137,142
TXN110;55;13;13744;Femenino;3497,739407
TXN111;36;6;8616;Masculino;7565,553893
TXN112;41;2;22530;Masculino;8105,176794
TXN113;53;15;5233;Masculino;2901,184969
TXN114;57;13;29521;Femenino;9299,882179
TXN115;28;5;2465;Femenino;5063,296932
TXN116;24;3;22983;Masculino;4478,916378
TXN117;29;5;28459;Femenino;5237,146138
TXN118;41;15;9526;Femenino;6546,953994
TXN119;55;6;9449;Femenino;3008,917005
TXN120;51;15;2317;Masculino;7061,843978
TXN121;58;12;13284;Masculino;4884,857262
TXN122;57;8;17612;Femenino;3910,186901
TXN123;24;2;18087;Femenino;7187,105559
TXN124;35;6;10027;Masculino;3900,207101
TXN125;51;3;23777;Masculino;4745,745731
TXN126;41;13;8053;Masculino;3812,636449
TXN127;55;9;12164;Femenino;5592,081284
TXN128;25;13;8032;Femenino;2309,977479
TXN129;23;9;14088;Masculino;6963,271755
TXN130;50;7;14016;Femenino;4797,797168
TXN131;60;10;6227;Femenino;10039,10473
TXN132;52;12;3395;Femenino;5391,885323
TXN133;45;5;17328;Masculino;7380,911149
TXN134;46;7;20299;Masculino;7054,614767
TXN135;23;8;11948;Masculino;9522,269377
TXN136;39;11;2504;Femenino;1811,835448
TXN137;41;2;15705;Femenino;4446,325749
TXN138;32;15;23446;Femenino;9570,060331
TXN139;35;8;10663;Masculino;3924,537837
TXN140;53;7;19138;Femenino;10269,46589
TXN141;27;11;4022;Masculino;1947,343067
TXN142;56;2;14884;Masculino;8289,247268
TXN143;55;11;11544;Masculino;3747,113789
TXN144;55;2;23058;Femenino;6046,539066
TXN145;49;11;29433;Masculino;6015,727937
TXN146;59;7;2572;Masculino;2453,35573
TXN147;30;9;19505;Masculino;4705,2038
TXN148;50;3;20498;Femenino;4047,48436
TXN149;43;5;22714;Masculino;9605,245744
TXN150;35;2;13815;Femenino;4666,984084
TXN151;26;13;14609;Masculino;7386,986728
TXN152;38;9;18043;Masculino;7840,834381
TXN153;28;14;8994;Femenino;4315,231784
TXN154;49;8;11677;Masculino;8161,113728
TXN155;31;2;21656;Femenino;7611,482602
TXN156;40;2;17261;Masculino;5644,764909
TXN157;43;11;28935;Femenino;6568,3417
TXN158;44;7;28742;Femenino;9005,327427
TXN159;22;7;10906;Femenino;2606,813913
TXN160;29;4;26818;Femenino;8628,559633
TXN161;55;9;9038;Masculino;3023,256591
TXN162;59;2;23943;Masculino;5921,920582
TXN163;46;11;19988;Femenino;9191,141565
TXN164;30;2;4675;Masculino;4398,96976
TXN165;47;7;22016;Femenino;7924,487636
TXN166;23;7;27355;Femenino;6888,385288
TXN167;39;11;28891;Masculino;6248,024594
TXN168;38;4;16473;Masculino;4251,051192
TXN169;46;14;25843;Masculino;5654,84579
TXN170;25;2;28721;Femenino;6829,334115
TXN171;32;3;4867;Femenino;4192,310757
TXN172;24;6;10418;Masculino;5584,527902
TXN173;49;5;28885;Masculino;6698,717398
TXN174;32;10;10240;Masculino;3804,412352
TXN175;27;14;11754;Masculino;9549,33031
TXN176;41;2;27411;Femenino;5226,782777
TXN177;31;6;9503;Femenino;10268,92406
TXN178;24;6;8711;Masculino;6346,59146
TXN179;30;12;17226;Masculino;5019,081611
TXN180;47;12;14257;Masculino;11805,93212
TXN181;29;9;13564;Femenino;4352,55907
TXN182;48;12;24384;Femenino;6598,300074
TXN183;54;1;3920;Masculino;1782,676086
TXN184;43;8;12341;Femenino;3587,280587
TXN185;41;13;28790;Masculino;10718,99222
TXN186;31;15;12169;Masculino;8380,09088
TXN187;36;15;22501;Masculino;6680,069106
TXN188;30;9;20570;Masculino;5058,79317
TXN189;43;2;11377;Femenino;3630,785639
TXN190;59;11;15561;Femenino;5336,054336
TXN191;55;2;22925;Masculino;6555,613636
TXN192;29;1;4119;Femenino;2258,559762
TXN193;22;7;18088;Masculino;5825,819252
TXN194;53;5;25384;Femenino;8337,999909
TXN195;50;9;25885;Femenino;8720,785208
TXN196;46;14;4593;Femenino;8220,25103
TXN197;57;14;29584;Femenino;6315,960515
TXN198;59;9;22227;Femenino;10918,87635
TXN199;52;14;17014;Masculino;4428,637792
TXN200;57;10;7660;Femenino;2894,901835
TXN201;21;10;5310;Femenino;5496,290599
TXN202;35;5;20509;Masculino;4413,994128
TXN203;52;14;17312;Femenino;6579,705718
TXN204;26;8;5352;Femenino;3482,123045
TXN205;43;8;21449;Masculino;4639,633349
TXN206;38;14;9485;Masculino;3068,712683
TXN207;59;2;5590;Femenino;8173,706083
TXN208;34;7;16724;Femenino;11547,71696
TXN209;22;6;21287;Femenino;7705,0432
TXN210;22;4;20643;Femenino;4050,538896
TXN211;42;9;16733;Masculino;10261,73883
TXN212;45;1;25103;Masculino;5937,025983
TXN213;49;1;27545;Masculino;5351,606252
TXN214;24;1;23579;Masculino;4612,655024
TXN215;41;6;9036;Femenino;2439,470651
TXN216;48;6;18257;Femenino;11743,09342
TXN217;54;11;11732;Masculino;7134,802961
TXN218;22;8;3484;Femenino;1542,373834
TXN219;26;12;16400;Femenino;5459,865898
TXN220;32;2;27136;Masculino;5364,421886
TXN221;34;13;9589;Femenino;3301,716581
TXN222;41;8;23971;Femenino;8192,103662
TXN223;55;12;7083;Masculino;2863,22383
TXN224;40;3;23762;Masculino;5662,633304
TXN225;59;12;10912;Masculino;8152,988583
TXN226;20;1;17881;Masculino;4020,397542
TXN227;42;9;3054;Masculino;2917,076223
TXN228;35;15;13865;Femenino;7034,867541
TXN229;27;15;16055;Masculino;8767,197842
TXN230;28;7;3026;Femenino;9376,218385
TXN231;51;5;20906;Masculino;9322,406328
TXN232;52;13;29850;Femenino;10810,31988
TXN233;43;10;13829;Femenino;3759,710623
TXN234;44;11;9313;Femenino;3640,413679
TXN235;41;13;18241;Femenino;10191,34528
TXN236;23;8;23997;Femenino;9227,713357
TXN237;38;6;25051;Femenino;5014,193429
TXN238;44;7;7755;Masculino;2487,86007
TXN239;33;11;3047;Femenino;4219,554823
TXN240;55;7;25867;Masculino;5239,592594
TXN241;35;7;2229;Masculino;1964,058497
TXN242;32;5;10342;Masculino;2892,892184
TXN243;38;14;24918;Femenino;9856,084136
TXN244;28;12;12643;Femenino;4638,431446
TXN245;46;4;17988;Masculino;3917,726632
TXN246;59;1;12579;Masculino;4360,332442
TXN247;31;3;25252;Masculino;4942,041945
TXN248;54;11;11743;Femenino;2975,460032
TXN249;32;12;24812;Femenino;5108,581908
TXN250;31;5;14222;Femenino;7799,24304
TXN251;46;4;28865;Masculino;13319,58378
TXN252;55;9;7570;Femenino;3333,657445
TXN253;40;12;8668;Femenino;6108,609762
TXN254;47;11;27167;Femenino;5332,982298
TXN255;57;1;29133;Femenino;5287,575118
TXN256;25;12;14540;Femenino;11230,52238
TXN257;58;14;13629;Masculino;5531,825494
TXN258;20;7;8196;Masculino;10237,70002
