sbs_id;facexp;departamento;provincia;sexo;p3;p6;leerescribir;niveleducativo;distanciaOficina;distanciaCajero;distanciaAgente;usocajero;vecescajero;ServFInternet;CategoriaIngreso;PagoAlimentacion;PagoSalud;PagoEducacion;PagoServiciosHogar;PagoDeudas;PagoVivienda;PagoEntretenimiento;CuentaAhorro;CuentaPlazo;CuentaCTS;PropensionAhorro;Entidad Credito;PropensionCredito;MotivoNoPropensionCredito;TarjetaCredito;EducacionFinanciera
1;1607;La Libertad;Chepen;Mujer;33;Castellano;Sí;Primaria incompleta;20;;10;;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2;1607;La Libertad;Chepen;Mujer;24;Castellano;Sí;Secund. incompleta;20;20;10;No;;;;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no le pidan muchos documentos;Falta de garantías;No;Bajo nivel
3;2410;La Libertad;Chepen;Mujer;53;Castellano;Sí;Secund. completa;20;20;5;No;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
4;2150;La Libertad;Chepen;Hombre;35;Castellano;Sí;Primaria completa;20;20;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
5;1607;La Libertad;Chepen;Mujer;43;Castellano;Sí;Secund. completa;;;5;;;;;En efectivo;;En efectivo;En efectivo;En efectivo;;;No;No;No;Casa, familiares o amigos;No solicito;Trámite rápido y préstamo a tiempo;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
6;1607;La Libertad;Chepen;Mujer;40;Castellano;Sí;No fue a la escuela;12;12;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco de la nación;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
7;2150;La Libertad;Chepen;Hombre;34;Castellano;Sí;Secund. completa;15;15;5;Sí;3;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;Sí;No;Sí;Banco privado;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
8;2410;La Libertad;Chepen;Mujer;43;Castellano;No;No fue a la escuela;;;5;;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
9;2150;La Libertad;Chepen;Hombre;40;Castellano;Sí;Secund. completa;15;15;5;No;;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Cajas municipales;No solicito;Cuotas que pueda pagar;Muchos requisitos documentarios;No;Bajo nivel
10;803;La Libertad;Chepen;Mujer;23;Castellano;Sí;Secund. completa;5;5;1;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco privado;No solicito;Cuotas que pueda pagar;Muchos requisitos documentarios;No;Bajo nivel
11;2410;La Libertad;Chepen;Mujer;64;Castellano;Sí;Primaria incompleta;20;20;10;Sí;1;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco de la nación;Familiares;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
12;3225;La Libertad;Chepen;Hombre;48;Castellano;Sí;Secund. incompleta;20;20;3;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;En efectivo;En efectivo;;En efectivo;;No;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
13;1749;Lambayeque;Chiclayo;Hombre;65;Castellano;Sí;Primaria incompleta;5;5;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;En efectivo;En efectivo;No;No;No;Banco privado;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
14;2615;Lambayeque;Chiclayo;Mujer;48;Castellano;Sí;Primaria completa;20;20;10;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;Trámite muy largo;No;Nivel Alto
15;5230;Lambayeque;Chiclayo;Mujer;34;Castellano;Sí;Secund. incompleta;15;15;10;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco de la nación;Familiares;Trámite rápido y préstamo a tiempo;Tengo pocos ingresos;No;Nivel Alto
16;2615;Lambayeque;Chiclayo;Mujer;51;Castellano;Sí;Secund. incompleta;30;30;10;Sí;1;;Menos de S/ 400;En efectivo;;En efectivo;En efectivo;En efectivo;;;Sí;No;No;Banco de la nación;Familiares;Que no sea muy caro (tasa de interés y otros cargos);Muchos requisitos documentarios;No;Bajo nivel
17;3922;Lambayeque;Chiclayo;Mujer;60;Castellano;Sí;Secund. incompleta;20;20;8;No;;;Menos de S/ 400;En efectivo;;;En efectivo;En efectivo;;;No;No;No;Banco privado;Banca Multiple;Que no le pidan muchos documentos;;No;Nivel Alto
18;7845;Lambayeque;Chiclayo;Mujer;24;Castellano;Sí;Secund. completa;20;10;5;No;;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;;;;;No;No;No;Banco privado;Familiares;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
19;2615;Lambayeque;Chiclayo;Mujer;25;Castellano;Más o menos;Primaria incompleta;;;;;;;Menos de S/ 400;En efectivo;;;;;;;No;No;No;Banco de la nación;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
20;1749;Lambayeque;Chiclayo;Hombre;26;Castellano;Sí;Secund. completa;10;10;10;Sí;6;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Trámite rápido y préstamo a tiempo;Falta de garantías;No;Nivel Alto
21;8745;Lambayeque;Chiclayo;Hombre;25;Castellano;Sí;Secund. completa;30;30;10;No;;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;En efectivo;;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
22;5230;Lambayeque;Chiclayo;Mujer;56;Castellano;Sí;Sup. no universitaria incompleta;10;3;3;Sí;4;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;En efectivo;En efectivo;;En efectivo;En efectivo;Sí;No;No;Banco de la nación;No solicito;Trámite rápido y préstamo a tiempo;Condiciones de crédito que no se adaptan a mis necesidades / no tienen lo que necesito;No;Bajo nivel
23;5230;Lambayeque;Chiclayo;Mujer;48;Castellano;Sí;Sup. no universitaria incompleta;30;30;15;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco de la nación;No solicito;Que le den la cantidad que necesita;Muchos requisitos documentarios;No;Nivel Alto
24;3498;Lambayeque;Chiclayo;Hombre;19;Castellano;Sí;Sup. universitaria incompleta;20;15;20;Sí;2;;;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
25;3251;La Libertad;Trujillo;Mujer;46;Castellano;Sí;Secund. completa;20;20;10;Sí;3;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;Sí;Nivel Alto
