Código ;DIA;MES;AÑO;RESPONSABLE;ESTRATEGA_VAR_00A;ESTRATEGA_VAR_01A;ESTRATEGA_VAR_01B;ESTRATEGA_VAR_02A;ESTRATEGA_VAR_03_A;ESTRATEGA_VAR_03_B;ESTRATEGA_VAR_04;ESTRATEGA_VAR_05;DETALLES_ACTIVIDAD
2;15;12;2015;3;1;3;5;54;4;402;0;1;"titular: ""Nadine manda tuit a Vilcatoma"" (por irse con Keiko)"
3;15;12;2015;3;1;3;5;107;2;201;0;1;"titular: ""tìa cuculiza fiel al fujimorismo"" (espera que la incluyan en la lista, al igual que Martha Chàvez)"
10;16;12;2015;3;1;3;5;59;2;201;0;1;"titular: ""Chavèz se irìa por Keiko"" (si no la respalda) "
12;17;12;2015;3;1;3;5;56;4;416;0;1;"titular: ""Kenji contra su hermana"" (por evaluaciòn a congresistas identificadas con su padre)"
15;17;12;2015;3;1;3;8;16;2;204;1;1;"""Quiènes seràn los integrantes de la plancha presidencial de Keiko, pero se habla de alguien de peso"""
25;18;12;2015;3;1;3;5;59;4;416;0;1;"Titular: ""Fujimori cuadra a Keiko"""
26;18;12;2015;3;1;3;8;12;4;413;1;1;"""Keiko es la ùnica candidata que no tiene mucha actividad en las redes. Usa la Tàctica de Castañeda, prefiere estar calladita. """
28;19;12;2015;3;1;1;5;37;5;502;0;1;"titular: ""Keiko y su papà juegan en pared"""
29;19;12;2015;3;1;3;5;303;5;502;0;1;"titular: ""Keiko y su papà juegan en pader"" (Nadine Heredia afirma que si sale elegida buscarà liberar a Fujimori)"
35;19;12;2015;3;1;3;8;37;5;502;0;1;"""Nadine  dice que no sabe quien postula Keiko o su papà"""
37;20;12;2015;3;1;3;7;384;1;103;0;1;"""keiko  no tiene ninguna experiencia de gestiòn. Si llega a palacio ella no va a gobernar."""
41;21;12;2015;3;1;3;3;60;3;301;1;1;*Keiko baja un poquito en las encuestas
46;21;12;2015;3;1;3;5;117;5;502;0;1;"titular: ""Usa a su madre por votos"" (Ana Jara critica a Keiko) "
55;24;12;2015;3;1;3;8;54;1;101;0;1;"titular: ""Keiko no va a salir"" (segù el artista Fernando Szyszlo no hay motivo por el cual Keiko deba ser electa presidenta)"
67;29;12;2015;3;1;3;6;285;5;502;0;1;"titular: ""Fujimori maneja campaña de Keiko"" (Daniel Urresti dice que el verdadero dueño de Fuerza Popular es Fujimori) "
72;30;12;2015;3;1;3;6;309;4;416;1;1;"titular: ""Keiko se enfrenta a su papà"" (sacò a ""històricos"" Martha Chàvez, Cuculiza y Aguinaga de lista de candidatos a reelecciòn)"
74;30;12;2015;3;1;3;5;52;4;416;1;1;"titular: ""Kenji se alìnea"" (Saluda la decesiciòn de su hermana de dejar fuera la reelecciòn a los legisladores) "
76;30;12;2015;3;1;3;8;14;5;502;0;1;"pepita: Toledo disparò contra Keiko. Fue primera dama con su padre y abandonò a su madre que fue torturada. Una persona que no quiere a su madre, no quiere a nadie"""
79;30;12;2015;3;1;1;6;32;4;416;0;1;"Titular: ""terremoto en Fujimorismo"" (Martha chàvez, Cuculiza y Aguinaga no vana a reelecciòn) "
86;2;1;2016;3;1;3;6;17;4;413;1;1;"titular: ""Candidatos envìan saludos por las redes"" (keiko:que sea mucho mejor para todos y que sus sueños se hagan realidad.) "
96;4;1;2016;3;1;3;8;14;4;417;0;1;"pepitas: ""habla LULÙ: Lourdes le mandò su chiquita a Ollanta y Keiko. Dizque que cuando  2 partidos cogobiernan  se evita un fujimontesinismo y el poder conyugal. Toma, mientras…"" "
98;5;1;2016;3;1;3;6;119;5;502;0;1;"titular: Keiko puede traicionar a su padre"" (Dijo Urresti, asi como traicionò a su madre) "
110;7;1;2016;3;1;3;8;17;4;402;0;1;"pepitas: ""Los fujimoristas, con Keiko a la cabeza luciendo polo blanco en la presentaciòn de su equipo de seguridad. Parece que el color naranja identifica màs a Fujimori. Quèeeee!"" "
